fund_code,fund_name,theme_hint,investability_hint,investability_note,is_current,latest_nav_date,latest_price,return_5d_pct,previous_5d_pct,acceleration_5d_pp,return_20d_pct,previous_20d_pct,acceleration_20d_pp,return_60d_pct,return_126d_pct,return_252d_pct,volatility_20d_ann_pct,max_drawdown_60d_pct,distance_from_60d_high_pct,portfolio_size_try,investor_count,history_observations,stock_pct,foreign_stock_pct,foreign_security_pct,foreign_etf_pct,precious_metals_pct,eurobond_pct,government_bond_pct,private_sector_bond_pct,investment_fund_pct,etf_pct,term_deposit_pct,repo_pct,reverse_repo_pct,derivative_pct,dataset_latest_date,breakdown_date,generated_at_local
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,3.4988,0.7474,0.7649,-0.0175,1.7087,3.074,-1.3653,7.0096,18.2695,43.7154,4.8728,-1.1738,0.0,2075937154.93,4486.0,304,0.0,0.0,0.0,0.0,0.0,0.0,9.24,2.48,0.0,0.0,0.0,0.0,48.48,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,4.0194,0.7889,0.8058,-0.0169,3.2823,3.5752,-0.2929,10.9001,23.2385,51.0821,1.4712,0.0,0.0,2091512406.57,4044.0,304,0.0,0.0,0.0,0.0,0.0,0.0,10.51,0.0,0.0,0.0,0.0,0.0,55.84,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Katılım,EXCLUDE,Para piyasası fonu,True,2026-08-24,0.1078,0.747,0.744,0.0029,2.9795,3.3683,-0.3888,10.0429,21.9268,47.8278,1.4185,0.0,0.0,14786888487.36,21691.0,304,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,13.5567,0.7625,0.7428,0.0197,3.0366,3.3307,-0.2941,10.077,21.5887,46.7043,1.3783,0.0,0.0,91476542839.53,147228.0,304,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,Bankacılık / Finans,EXCLUDE,Para piyasası fonu,True,2026-08-24,37.6071,0.7719,0.7404,0.0315,3.0912,3.2887,-0.1975,10.0919,21.685,47.2353,1.4023,0.0,0.0,626940671.4,3643.0,304,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,6.5591,0.7835,0.7589,0.0245,3.1108,3.3918,-0.2811,10.2346,21.9038,47.8691,1.4089,0.0,0.0,63878617065.06,29128.0,304,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
BIP,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.6447,0.783,0.762,0.021,3.1807,3.4534,-0.2727,10.3783,22.7343,48.4645,1.4931,0.0,0.0,3591975178.49,226.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.35,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
BPZ,BULLS PORTFÖY PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.5965,0.8723,0.8479,0.0244,3.5158,3.776,-0.2603,11.6212,24.6378,51.6475,1.5878,0.0,0.0,661612169.51,1233.0,284,0.0,0.0,0.0,0.0,0.0,0.0,10.94,0.0,0.0,0.0,0.0,0.0,46.85,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
BRG,TEB PORTFÖY BURGAN BANK PARA PİYASASI (TL) FONU,Bankacılık / Finans,EXCLUDE,Para piyasası fonu,True,2026-08-24,5.1356,0.7658,0.7594,0.0065,3.1039,3.3268,-0.2229,10.1755,21.8756,47.5565,1.3764,0.0,0.0,1929028723.46,1616.0,304,0.0,0.0,0.0,0.0,0.0,0.0,15.18,0.0,0.0,0.0,0.0,0.0,42.36,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
BTP,TRİVE PORTFÖY PARA PİYASASI SERBEST FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,0.5954,0.8779,0.8348,0.0431,3.3983,4.2053,-0.807,12.3339,4.1439,-20.6433,1.5551,0.0,0.0,1031899915.12,21.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
BVF,BV PORTFÖY PARA PİYASASI (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.4184,0.7872,0.7843,0.0029,3.3987,3.2575,0.1412,10.5523,22.5399,,1.5772,0.0,0.0,1781866789.72,535.0,218,,,,,,,,,,,,,,,2026-08-24,2026-08-24,2026-08-24 09:12:33
CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,2.5271,0.7797,0.7558,0.0238,3.1083,3.3884,-0.28,10.3089,22.2801,48.079,1.409,0.0,0.0,2092315319.27,471.0,304,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,80.46,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DAP,DESTEK PORTFÖY PARA PİYASASI FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.0208,0.8065,0.8048,0.0018,,,,,,,,0.0,0.0,253796270.89,592.0,12,0.0,0.0,0.0,0.0,0.0,0.0,8.02,0.0,0.0,0.0,0.0,0.0,68.41,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,4.7841,0.7467,0.7465,0.0002,3.0281,3.4275,-0.3994,10.227,22.218,47.6879,1.3894,0.0,0.0,142390327874.93,22350.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0,7.07,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DCN,DENİZ PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.443,0.7427,0.7461,-0.0034,3.0429,3.2665,-0.2236,9.9498,21.5831,,1.3485,0.0,0.0,878269297.88,2045.0,241,0.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,0.0,0.0,0.0,85.62,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DGH,ATA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,10.8234,0.7595,0.7571,0.0024,3.0843,3.5099,-0.4256,10.4738,22.9515,49.7236,1.4105,0.0,0.0,3954819144.25,260.0,304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,22.39,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
DIP,DENİZ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Diğer / Belirsiz,EXCLUDE,Para piyasası fonu,True,2026-08-24,1.5846,0.7639,0.7636,0.0003,3.0959,3.4989,-0.403,10.435,22.7636,48.9299,1.4213,0.0,0.0,60422220529.53,1944.0,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,0.0,2026-08-24,2026-08-24,2026-08-24 09:12:33
