rank,fund_code,fund_name,theme_hint,screen_bucket,quant_score,latest_nav_date,latest_price,return_5d_pct,previous_5d_pct,acceleration_5d_pp,return_20d_pct,previous_20d_pct,acceleration_20d_pp,return_60d_pct,return_126d_pct,return_252d_pct,volatility_20d_ann_pct,max_drawdown_60d_pct,distance_from_60d_high_pct,portfolio_size_try,investor_count,primary_exposure,overextension_flag,small_fund_flag,investability_hint
1,YHB,YAPI KREDİ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,REVERSAL + EARLY_MOMENTUM + TREND_CONTINUATION,83.71,2026-08-20,2.4636,5.9226,3.4709,2.4517,8.8701,-0.5915,9.4616,15.9117,15.9523,34.6249,17.7303,-8.9298,0.0,291707470.68,7134.0,TR Hisse %90.1,NO,NO,RETAIL_CANDIDATE
2,JET,ATA PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Teknoloji,REVERSAL + EARLY_MOMENTUM + TREND_CONTINUATION,81.71,2026-08-20,2.4418,2.6347,0.0453,2.5894,9.292,-0.2349,9.5269,15.8289,10.6465,35.169,22.4178,-6.5694,-1.3944,555971212.81,17222.0,Yabancı Hisse %67.9,NO,NO,RETAIL_CANDIDATE
3,ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,Yabancı Varlıklar,EARLY_MOMENTUM + TREND_CONTINUATION,81.23,2026-08-20,0.2558,2.4181,-0.8185,3.2366,8.6899,3.4381,5.2518,11.971,23.5209,46.2383,18.0131,-4.023,0.0,46123411.09,1984.0,Yabancı Hisse %84.4,NO,NO,RETAIL_CANDIDATE
4,RGD,RE-PIE PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken,REVERSAL + EARLY_MOMENTUM + TREND_CONTINUATION,80.78,2026-08-20,1.1543,3.4068,0.9981,2.4087,7.813,-2.4349,10.248,8.8547,6.5138,,13.7778,-6.0837,0.0,28744322.26,127.0,TR Hisse %75.6,NO,NO,RETAIL_CANDIDATE
5,GZG,GARANTİ PORTFÖY SAĞLIK VE GENETİK TEKNOLOJİLERİ DEĞİŞKEN FON,Teknoloji,TREND_CONTINUATION,79.11,2026-08-20,7.6478,3.7189,2.8989,0.82,8.0599,4.6311,3.4288,25.8261,32.2278,58.7533,13.3721,-3.072,0.0,461433593.02,4249.0,Yabancı Hisse %64.4,NO,NO,RETAIL_CANDIDATE
6,IDI,AZİMUT PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,EARLY_MOMENTUM + TREND_CONTINUATION,77.46,2026-08-20,1.6619,4.9501,2.7899,2.1602,7.1318,2.1912,4.9406,15.4057,21.1254,50.0159,26.452,-7.6563,0.0,23111397.1,391.0,TR Hisse %84.6,NO,NO,RETAIL_CANDIDATE
7,ICH,PARDUS PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken,EARLY_MOMENTUM + TREND_CONTINUATION,75.02,2026-08-20,2.4554,2.2542,1.2343,1.0199,7.29,5.6682,1.6217,22.2101,41.0301,78.3892,8.1044,-1.0485,0.0,1001990589.73,4041.0,TR Hisse %52.7,NO,NO,RETAIL_CANDIDATE
8,IKL,İŞ PORTFÖY SAĞLIK ŞİRKETLERİ KARMA FON,Sağlık,EARLY_MOMENTUM + TREND_CONTINUATION,74.7,2026-08-20,10.1542,3.052,1.0239,2.0281,6.6094,4.5735,2.0359,15.347,13.8978,39.3674,12.386,-2.3332,0.0,274577455.27,5375.0,Yabancı Hisse %67.8,NO,NO,RETAIL_CANDIDATE
9,HJB,HEDEF PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken,EARLY_MOMENTUM + TREND_CONTINUATION,74.2,2026-08-20,4.5914,1.2114,0.0273,1.1841,6.2701,1.3467,4.9234,14.5152,11.0309,46.0759,13.9972,-4.7087,0.0,109470360.12,1549.0,TR Hisse %63.4,NO,NO,RETAIL_CANDIDATE
10,OHK,OYAK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,EARLY_MOMENTUM + TREND_CONTINUATION,73.3,2026-08-20,2.9475,4.6488,2.8801,1.7686,5.0186,2.6295,2.3892,15.1851,21.6824,46.6859,17.4506,-4.8713,0.0,28865021.92,1186.0,TR Hisse %74.4,NO,NO,RETAIL_CANDIDATE
11,SOS,HEDEF PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Sağlık,TREND_CONTINUATION,73.21,2026-08-20,1.6874,5.9307,3.5258,2.4048,11.3166,7.4134,3.9032,23.7181,24.0295,46.3531,17.0543,-2.595,0.0,18833449.62,307.0,Yabancı Hisse %66.3,YES,YES,RETAIL_CANDIDATE
12,DNF,A1 CAPİTAL PORTFÖY DİNAMİK FON SEPETİ FONU,Fon Sepeti,TREND_CONTINUATION,72.74,2026-08-20,1.3016,1.264,0.9582,0.3058,6.1222,-0.7232,6.8455,9.924,11.8836,,12.797,-3.3126,0.0,463161759.07,132.0,Yatırım Fonu %83.5,NO,NO,RETAIL_CANDIDATE
13,FD1,ONE PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken,EARLY_MOMENTUM + TREND_CONTINUATION,72.18,2026-08-20,2.0266,3.2159,0.4943,2.7216,4.1398,0.8256,3.3143,12.5386,11.2436,31.0688,11.5401,-2.7565,0.0,19353254.33,145.0,TR Hisse %49.0,NO,YES,RETAIL_CANDIDATE
14,NKT,NUROL PORTFÖY BİRİNCİ KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,TREND_CONTINUATION,71.44,2026-08-20,1.5725,4.3404,1.2855,3.0549,4.4647,3.691,0.7737,16.501,20.3398,,14.9217,-4.5317,0.0,69218642.3,486.0,TR Hisse %92.0,NO,NO,RETAIL_CANDIDATE
15,KPC,KUVEYT TÜRK PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,EARLY_MOMENTUM + TREND_CONTINUATION,71.12,2026-08-20,21.7602,4.4154,2.6689,1.7465,4.0476,1.8199,2.2277,12.8712,19.9804,55.185,16.3548,-5.1354,0.0,4639425401.29,23120.0,TR Hisse %87.9,NO,NO,RETAIL_CANDIDATE
16,MTH,MT PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,TREND_CONTINUATION,70.63,2026-08-20,2.2757,3.7311,2.36,1.371,5.0172,2.3867,2.6304,26.6892,14.8509,79.6135,21.1758,-5.8,0.0,291081857.19,3147.0,TR Hisse %91.2,NO,NO,RETAIL_CANDIDATE
17,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Sağlık,TREND_CONTINUATION,70.34,2026-08-20,0.3589,3.9922,3.71,0.2822,11.3034,5.9192,5.3842,18.5024,16.034,41.7037,19.3402,-4.3918,0.0,904107211.14,28359.0,Yabancı Hisse %96.4,YES,NO,RETAIL_CANDIDATE
18,SSK,DENİZ PORTFÖY SAĞLIK SEKTÖRÜ DEĞİŞKEN FON,Sağlık,TREND_CONTINUATION,70.24,2026-08-20,1.7827,2.9341,2.4742,0.4599,7.4538,6.0656,1.3883,18.2706,18.6854,47.2498,10.5846,-2.1068,0.0,49491645.58,583.0,Yabancı Hisse %37.7,NO,NO,RETAIL_CANDIDATE
19,KTI,AZİMUT PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,TREND_CONTINUATION,70.19,2026-08-20,2.1991,3.4369,2.7689,0.668,5.0625,2.1061,2.9564,14.8958,19.8537,46.3097,18.5277,-5.1051,0.0,279273352.37,557.0,TR Hisse %86.6,NO,NO,RETAIL_CANDIDATE
20,BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken,REVERSAL + EARLY_MOMENTUM + TREND_CONTINUATION,70.16,2026-08-20,3.1554,3.6417,0.4577,3.184,3.5679,-0.6662,4.2341,7.052,10.1007,53.5843,16.4211,-6.3423,-0.4584,195406559.73,1546.0,TR Hisse %46.5,NO,NO,RETAIL_CANDIDATE
21,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,REVERSAL + EARLY_MOMENTUM + TREND_CONTINUATION,69.97,2026-08-20,63.2304,2.9364,0.7315,2.2049,3.5088,-2.31,5.8188,8.6326,-0.916,24.2183,15.5228,-7.7192,-1.0769,120487143.6,1997.0,TR Hisse %87.8,NO,NO,RETAIL_CANDIDATE
22,RPM,ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON,Teknoloji,TREND_CONTINUATION,69.88,2026-08-20,4.5733,3.2437,3.7236,-0.4799,10.1532,4.8446,5.3086,22.1785,24.0463,68.1986,12.59,-1.7163,0.0,86872918.5,2862.0,Yabancı Hisse %61.0,YES,NO,RETAIL_CANDIDATE
23,YEF,YAPI KREDİ PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,TREND_CONTINUATION,69.53,2026-08-20,0.9834,3.6635,3.1988,0.4647,4.1854,-3.346,7.5314,12.4168,8.7955,40.6769,20.2157,-10.5745,-1.0639,1832473915.56,13342.0,TR Hisse %93.0,NO,NO,RETAIL_CANDIDATE
24,ZCK,ZİRAAT PORTFÖY AGRESİF KATILIM FONU,Katılım,TREND_CONTINUATION,69.3,2026-08-20,1.865,4.8682,1.6945,3.1738,4.6151,3.9286,0.6865,13.452,16.9893,40.8606,16.193,-5.3478,0.0,388382475.5,2221.0,TR Hisse %85.2,NO,NO,RETAIL_CANDIDATE
25,RBH,ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,EARLY_MOMENTUM + TREND_CONTINUATION,69.12,2026-08-20,34.8422,5.6711,0.3214,5.3497,3.4153,2.1621,1.2531,14.4742,17.7819,51.2768,18.0226,-5.8914,0.0,1008579328.63,4999.0,TR Hisse %98.1,NO,NO,RETAIL_CANDIDATE
26,BON,A1 CAPİTAL PORTFÖY BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları,TREND_CONTINUATION,68.95,2026-08-20,1.4166,0.8639,3.5949,-2.731,8.6162,0.6859,7.9303,13.4253,14.7752,,11.1572,-1.4763,0.0,26706556.68,329.0,DİBS %86.8,NO,NO,RETAIL_CANDIDATE
27,GZZ,GARANTİ PORTFÖY FİNANSAL TEKNOLOJİLER DEĞİŞKEN FON,Teknoloji,REVERSAL + EARLY_MOMENTUM + TREND_CONTINUATION,68.87,2026-08-20,6.9936,1.0082,-0.9738,1.9821,3.2713,-0.5287,3.8,10.6675,3.0534,18.8987,12.8974,-4.3769,-0.7502,63857674.41,1221.0,Yabancı Hisse %56.3,NO,NO,RETAIL_CANDIDATE
28,KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım,TREND_CONTINUATION,68.8,2026-08-20,1.7644,2.2375,2.2188,0.0187,4.3474,1.8779,2.4695,12.7796,25.6618,55.5752,8.9108,-2.2372,0.0,194620529.01,2210.0,TR Hisse %43.9,NO,NO,RETAIL_CANDIDATE
